lesen		to read	las(es)t	gelesen	lies	liest	lesest	läsest
verlieren		to lose, to relinquish	verlorst	verloren	verlier(e)	verlierst	verlierest	verlörest
darstellen		to Represent, to represent	stelltest dar	dargestellt	stell(e) dar	stellst dar	stellest dar	stelltest dar
erkennen		to recognize, to indentify	erkanntest	erkannt	erkenn(e)	erkennst	erkennest	erkenntest
entwickeln		to develop	entwickeltest	entwickelt	entwick(e)l(e)	entwickelst	entwickelst	entwickeltest
reden		to speak, to talk, to utter, to say	redetest	geredet	red(e)	redest	redest	redetest
aussehen		to look, to look like	sahst aus	ausgeseh(e)n	sieh aus	siehst aus	sehest aus	sähest aus
erscheinen		to appear, to publish	erschienst	erschienen	erschein(e)	erscheinst	erscheinest	erschienest
bilden		to form	bildetest	gebildet	bild(e)	bildest	bildest	bildetest
erwarten		to abide, to expect, to visualize, to await	erwartetest	erwartet	erwart(e)	erwartest	erwartest	erwartetest
wohnen		to live, to lodge, to reside, to dwell, to stay	wohntest	gewohnt	wohn(e)	wohnst	wohnest	wohntest
betreffen		to concern, to affect	betrafst	betroffen	betriff	betriffst	betreffest	beträfest
vergehen		to pass, to proceed, to die	vergingst	vergangen	vergeh(e)	vergehst	vergehest	vergingest
helfen		to help	halfst	geholfen	hilf	hilfst	helfest	hülfest/hälfest
schliessen		to shut, to close, to conclude, to deduce, to infer, to guess	schloss(es)t	geschlossen	schließ(e)	schließt	schließest	schlössest
fühlen		to feel, to sense	fühltest	gefühlt	fühl(e)	fühlst	fühlest	fühltest
interessieren		to interest	interessiertest	interessiert	interessier(e)	interessierst	interessierest	interessiertest
sich erinnern		to remind, to remember	erinnertest	erinnert	erinn(e)r(e)	erinnerst	erinnerst	erinnertest
ergeben		to arise, to result	ergabst	ergeben	ergib	ergibst	ergebest	ergäbest
bieten		to bid, to offer	bot(e)st	geboten	biet(e)	bietest	bietest	bötest
anbieten		to offer, to propose	bot(e)st an	angeboten	biet(e) an	bietest an	bietest an	bötest an
studieren		to study	studiertest	studiert	studier(e)	studierst	studierest	studiertest
verbinden		to bandage, to connect, to put	verband(e)st	verbunden	verbind(e)	verbindest	verbindest	verbändest/verbündest
ansehen		to look at, to watch	sahst an	angeseh(e)n	sieh an	siehst an	sehest an	sähest an
fehlen		to miss, to lack, to be short, to be missing, to be wrong	fehltest	gefehlt	fehl(e)	fehlst	fehlest	fehltest
bedeuten		to mean	bedeutetest	bedeutet	bedeut(e)	bedeutest	bedeutest	bedeutetest
vergleichen		to compare	verglichst	verglichen	vergleich(e)	vergleichst	vergleichest	verglichest
